"alterID";"egoID";"alter.sex";"alter.age"
1;"29";"w";"66 - 100"
2;"29";"m";"26 - 35"
3;"29";"m";"66 - 100"
4;"29";"w";"26 - 35"
5;"29";"m";"26 - 35"
6;"29";"w";"46 - 55"
7;"29";"w";"0 - 17"
8;"29";"w";"26 - 35"
9;"29";"w";"46 - 55"
10;"29";"m";"0 - 17"
11;"29";"m";"66 - 100"
12;"29";"w";"56 - 65"
13;"29";"w";"0 - 17"
14;"29";"m";"56 - 65"
15;"29";"m";"66 - 100"
16;"29";"m";"46 - 55"
17;"29";"w";"26 - 35"
18;"29";"w";"56 - 65"
19;"29";"w";"0 - 17"
20;"29";"m";"36 - 45"
21;"29";"m";"46 - 55"
22;"29";"m";"18 - 25"
