"Source";"Target";"weight"
4;9;0,333333333333333
3;6;1
6;8;0,333333333333333
2;12;0,333333333333333
1;10;1
3;10;1
9;10;0,666666666666667
1;3;1
1;11;0,666666666666667
2;9;0,666666666666667
2;3;1
3;7;1
3;5;1
8;12;0,333333333333333
5;8;0,333333333333333
11;12;0,666666666666667
1;6;0,333333333333333
1;2;0,333333333333333
2;5;1
5;6;1
1;9;0,666666666666667
10;11;0,333333333333333
2;6;1
7;11;1
1;8;0,666666666666667
3;4;1
2;4;0,333333333333333
1;5;0,666666666666667
7;8;0,666666666666667
6;12;1
5;10;0,666666666666667
6;7;0,333333333333333
7;9;0,666666666666667
4;6;0,666666666666667
9;11;1
3;9;0,666666666666667
5;12;0,333333333333333
