"Source";"Target";"weight"
9;11;0,333333333333333
4;6;0,666666666666667
5;12;0,666666666666667
2;7;1
9;12;1
6;8;1
7;11;1
7;12;1
4;7;0,333333333333333
4;11;0,666666666666667
8;12;1
1;9;0,666666666666667
2;8;1
5;6;1
1;2;0,333333333333333
9;10;0,666666666666667
10;11;0,666666666666667
5;10;1
4;5;0,333333333333333
7;8;0,333333333333333
3;12;0,333333333333333
4;12;0,333333333333333
4;8;0,666666666666667
1;6;1
5;7;0,333333333333333
6;12;0,333333333333333
2;6;1
3;6;1
6;7;0,333333333333333
3;7;0,333333333333333
3;10;0,333333333333333
6;10;0,666666666666667
1;7;0,666666666666667
3;8;0,666666666666667
11;12;1
5;11;0,666666666666667
