"Source";"Target";"weight"
5;12;0,333333333333333
9;10;0,333333333333333
5;9;1
2;10;0,666666666666667
4;10;0,333333333333333
4;12;0,666666666666667
6;7;0,666666666666667
3;6;0,666666666666667
7;8;1
3;4;0,333333333333333
4;11;1
2;4;0,333333333333333
4;6;0,666666666666667
9;12;0,666666666666667
2;9;0,666666666666667
8;10;0,666666666666667
3;7;1
1;6;1
2;7;1
5;7;0,333333333333333
1;2;0,333333333333333
3;12;0,666666666666667
4;7;0,333333333333333
1;8;0,333333333333333
6;9;0,666666666666667
6;10;0,333333333333333
1;3;0,333333333333333
2;6;0,333333333333333
3;10;0,333333333333333
7;12;0,666666666666667
7;10;0,333333333333333
6;8;1
1;12;1
