"";"Source";"Target";"weight"
"1";1;2;3
"2";1;3;2
"3";1;4;1
"4";1;5;3
"5";1;6;3
"6";1;7;1
"7";1;8;2
"8";1;9;3
"9";1;10;3
"10";1;11;1
"11";1;12;1
"12";1;13;3
"13";1;14;3
"14";1;15;3
"15";1;16;3
"16";1;17;3
"17";1;18;3
"18";1;19;1
"19";1;20;2
"20";1;21;1
"21";2;3;1
"22";2;4;3
"23";2;5;2
"24";2;6;2
"25";2;7;1
"26";2;8;3
"27";2;9;3
"28";2;10;1
"29";2;11;3
"30";2;12;3
"31";2;13;3
"32";2;14;3
"33";2;15;1
"34";2;16;1
"35";2;17;3
"36";2;18;1
"37";2;19;1
"38";2;20;1
"39";2;21;1
"40";3;4;2
"41";3;5;2
"42";3;6;3
"43";3;7;1
"44";3;8;2
"45";3;9;3
"46";3;10;3
"47";3;11;2
"48";3;12;3
"49";3;13;3
"50";3;14;2
"51";3;15;2
"52";3;16;1
"53";3;17;2
"54";3;18;1
"55";3;19;3
"56";3;20;3
"57";3;21;3
"58";4;5;2
"59";4;6;2
"60";4;7;1
"61";4;8;3
"62";4;9;1
"63";4;10;1
"64";4;11;2
"65";4;12;3
"66";4;13;2
"67";4;14;2
"68";4;15;3
"69";4;16;1
"70";4;17;1
"71";4;18;1
"72";4;19;1
"73";4;20;2
"74";4;21;1
"75";5;6;3
"76";5;7;2
"77";5;8;1
"78";5;9;1
"79";5;10;1
"80";5;11;2
"81";5;12;2
"82";5;13;1
"83";5;14;3
"84";5;15;1
"85";5;16;3
"86";5;17;1
"87";5;18;1
"88";5;19;2
"89";5;20;3
"90";5;21;3
"91";6;7;3
"92";6;8;3
"93";6;9;2
"94";6;10;1
"95";6;11;1
"96";6;12;2
"97";6;13;2
"98";6;14;2
"99";6;15;2
"100";6;16;1
"101";6;17;1
"102";6;18;3
"103";6;19;3
"104";6;20;1
"105";6;21;2
"106";7;8;2
"107";7;9;2
"108";7;10;1
"109";7;11;1
"110";7;12;1
"111";7;13;3
"112";7;14;3
"113";7;15;3
"114";7;16;1
"115";7;17;2
"116";7;18;1
"117";7;19;2
"118";7;20;3
"119";7;21;2
"120";8;9;3
"121";8;10;1
"122";8;11;2
"123";8;12;2
"124";8;13;3
"125";8;14;2
"126";8;15;2
"127";8;16;3
"128";8;17;2
"129";8;18;2
"130";8;19;3
"131";8;20;3
"132";8;21;2
"133";9;10;3
"134";9;11;1
"135";9;12;1
"136";9;13;3
"137";9;14;3
"138";9;15;3
"139";9;16;3
"140";9;17;3
"141";9;18;1
"142";9;19;1
"143";9;20;2
"144";9;21;2
"145";10;11;3
"146";10;12;3
"147";10;13;2
"148";10;14;3
"149";10;15;2
"150";10;16;2
"151";10;17;3
"152";10;18;2
"153";10;19;2
"154";10;20;1
"155";10;21;1
"156";11;12;2
"157";11;13;1
"158";11;14;2
"159";11;15;1
"160";11;16;3
"161";11;17;2
"162";11;18;2
"163";11;19;3
"164";11;20;2
"165";11;21;1
"166";12;13;2
"167";12;14;2
"168";12;15;2
"169";12;16;2
"170";12;17;1
"171";12;18;2
"172";12;19;3
"173";12;20;2
"174";12;21;1
"175";13;14;2
"176";13;15;2
"177";13;16;3
"178";13;17;2
"179";13;18;2
"180";13;19;2
"181";13;20;1
"182";13;21;3
"183";14;15;2
"184";14;16;3
"185";14;17;1
"186";14;18;1
"187";14;19;3
"188";14;20;3
"189";14;21;2
"190";15;16;3
"191";15;17;3
"192";15;18;2
"193";15;19;2
"194";15;20;2
"195";15;21;3
"196";16;17;2
"197";16;18;1
"198";16;19;1
"199";16;20;2
"200";16;21;3
"201";17;18;1
"202";17;19;3
"203";17;20;2
"204";17;21;3
"205";18;19;2
"206";18;20;1
"207";18;21;1
"208";19;20;3
"209";19;21;1
"210";20;21;2
