"Source";"Target";"weight"
2;10;1
2;8;1
8;12;1
2;5;0,333333333333333
3;12;0,666666666666667
5;7;0,333333333333333
9;12;0,666666666666667
10;11;1
8;11;0,333333333333333
2;4;0,666666666666667
5;6;0,666666666666667
2;3;0,666666666666667
5;11;0,666666666666667
6;8;1
4;7;0,333333333333333
6;11;0,333333333333333
4;9;0,666666666666667
6;12;0,333333333333333
2;6;0,333333333333333
5;10;1
5;9;0,666666666666667
9;11;1
7;12;0,666666666666667
2;12;1
6;10;0,666666666666667
7;10;1
3;8;0,333333333333333
3;11;0,666666666666667
4;10;0,333333333333333
8;9;1
1;7;0,666666666666667
2;7;1
