"Source";"Target";"weight"
5;6;0,333333333333333
1;3;0,333333333333333
6;9;0,666666666666667
2;12;0,333333333333333
1;11;0,666666666666667
11;12;0,333333333333333
3;6;0,333333333333333
10;12;0,333333333333333
4;5;0,333333333333333
4;10;0,666666666666667
2;3;0,666666666666667
5;11;0,666666666666667
6;7;0,666666666666667
2;5;1
3;4;0,333333333333333
3;8;0,666666666666667
4;12;1
3;12;1
1;5;1
6;8;1
5;10;1
10;11;0,333333333333333
9;12;1
3;5;0,666666666666667
8;10;0,666666666666667
4;7;0,333333333333333
2;10;1
