"Source";"Target";"weight"
3;7;0,666666666666667
2;11;0,333333333333333
5;9;0,333333333333333
2;7;0,666666666666667
3;5;0,666666666666667
7;11;0,333333333333333
1;10;1
6;10;0,666666666666667
1;3;0,666666666666667
2;10;0,333333333333333
1;5;1
5;8;0,666666666666667
5;7;1
3;4;1
2;9;0,333333333333333
2;8;0,666666666666667
7;9;1
4;7;0,333333333333333
8;11;1
4;9;0,666666666666667
5;11;0,666666666666667
2;5;0,666666666666667
2;12;1
5;6;0,333333333333333
8;12;0,333333333333333
10;11;1
1;2;0,666666666666667
4;10;0,333333333333333
2;4;0,666666666666667
5;10;0,666666666666667
2;6;1
1;6;0,333333333333333
4;11;1
3;11;1
1;4;0,666666666666667
6;7;0,333333333333333
5;12;0,666666666666667
