"Source";"Target";"weight"
1;12;0,333333333333333
2;8;1
10;12;0,333333333333333
1;7;0,666666666666667
4;11;0,333333333333333
5;6;0,333333333333333
7;10;1
4;10;0,333333333333333
6;10;1
2;9;1
4;8;1
3;11;1
8;11;0,333333333333333
3;7;1
1;6;0,333333333333333
3;10;1
2;3;0,333333333333333
3;5;0,666666666666667
4;9;1
2;7;1
6;12;0,666666666666667
5;9;1
5;10;0,333333333333333
1;11;0,333333333333333
2;4;1
10;11;0,333333333333333
4;6;1
2;12;0,666666666666667
1;10;0,333333333333333
2;5;0,333333333333333
7;9;0,333333333333333
