"Source";"Target";"weight"
6;10;0,666666666666667
6;9;1
3;8;0,666666666666667
1;4;1
6;11;1
9;12;1
4;12;0,666666666666667
9;11;0,666666666666667
2;6;0,666666666666667
8;12;0,666666666666667
6;12;0,333333333333333
4;9;0,666666666666667
8;11;1
8;10;0,666666666666667
4;5;0,666666666666667
2;4;1
2;7;1
5;12;0,666666666666667
2;3;1
10;12;0,333333333333333
3;4;1
1;10;0,666666666666667
4;6;1
2;11;1
3;6;0,666666666666667
6;7;0,333333333333333
7;8;1
1;9;0,666666666666667
6;8;0,333333333333333
2;9;0,333333333333333
