"Source";"Target";"weight"
6;10;1
3;10;1
2;5;1
7;10;1
4;11;1
7;9;0,333333333333333
2;8;1
5;7;0,666666666666667
2;6;0,666666666666667
3;7;0,666666666666667
5;12;0,666666666666667
8;12;0,333333333333333
1;9;1
4;10;0,666666666666667
2;7;1
1;5;0,666666666666667
1;10;1
1;6;0,666666666666667
8;11;0,333333333333333
6;8;0,333333333333333
3;9;0,666666666666667
9;11;1
7;8;0,666666666666667
5;8;1
2;4;1
3;5;0,666666666666667
1;8;0,666666666666667
5;9;0,333333333333333
3;4;0,666666666666667
4;7;0,333333333333333
