"Source";"Target";"weight"
6;7;0,666666666666667
3;11;1
6;12;0,333333333333333
5;12;0,666666666666667
5;7;1
2;4;0,666666666666667
5;6;1
6;11;0,666666666666667
9;12;0,333333333333333
4;9;0,333333333333333
8;12;1
2;9;1
7;12;0,333333333333333
2;3;0,666666666666667
7;10;0,333333333333333
1;6;1
3;9;0,666666666666667
1;2;1
4;6;0,333333333333333
3;7;1
7;8;0,333333333333333
1;10;0,666666666666667
3;5;1
4;7;0,333333333333333
3;6;1
3;4;0,666666666666667
6;9;1
2;8;0,333333333333333
4;11;1
9;11;1
1;7;0,666666666666667
2;11;0,666666666666667
