"Source";"Target";"weight"
9;11;0,666666666666667
5;8;1
2;12;1
2;6;0,333333333333333
1;11;0,333333333333333
1;5;0,333333333333333
3;9;0,333333333333333
5;6;0,666666666666667
2;11;0,333333333333333
3;8;0,666666666666667
4;7;0,333333333333333
2;3;1
6;8;0,333333333333333
4;8;0,333333333333333
8;10;0,666666666666667
9;12;0,333333333333333
2;9;1
8;11;1
4;9;0,333333333333333
2;8;0,333333333333333
4;10;0,333333333333333
2;7;0,333333333333333
1;2;1
6;12;0,666666666666667
7;9;0,333333333333333
6;9;0,666666666666667
3;12;0,666666666666667
4;12;0,666666666666667
2;5;0,666666666666667
5;11;0,666666666666667
