"Source";"Target";"weight"
1;12;1
4;7;1
3;10;0,666666666666667
1;2;0,666666666666667
3;4;1
5;6;1
9;10;0,666666666666667
4;10;1
2;10;1
1;11;1
1;10;0,666666666666667
5;8;1
8;11;0,333333333333333
3;9;0,666666666666667
7;9;0,333333333333333
2;11;1
7;12;0,666666666666667
8;9;0,666666666666667
8;12;0,666666666666667
5;12;0,666666666666667
9;12;0,333333333333333
6;7;0,666666666666667
3;6;1
2;7;1
7;8;1
3;5;1
5;10;1
10;12;1
8;10;1
4;5;1
1;9;0,666666666666667
10;11;0,333333333333333
5;9;1
1;6;1
2;12;0,666666666666667
