"Source";"Target";"weight"
7;12;1
1;12;0,666666666666667
1;11;0,666666666666667
4;7;1
7;11;1
1;5;1
2;12;0,666666666666667
8;9;0,666666666666667
5;11;0,666666666666667
10;12;0,333333333333333
8;10;0,333333333333333
3;8;0,333333333333333
1;6;0,333333333333333
5;6;1
3;11;0,333333333333333
1;3;0,333333333333333
6;9;0,666666666666667
4;8;0,666666666666667
7;8;1
4;10;1
5;9;0,333333333333333
4;9;0,333333333333333
4;6;0,666666666666667
1;2;1
6;10;0,666666666666667
9;12;0,333333333333333
10;11;1
9;10;0,333333333333333
2;10;0,333333333333333
9;11;0,333333333333333
4;11;0,666666666666667
2;8;1
7;10;0,333333333333333
2;7;0,333333333333333
2;11;1
4;12;0,666666666666667
2;6;1
