"Source";"Target";"weight"
1;2;0,666666666666667
6;7;0,333333333333333
3;10;0,666666666666667
9;12;1
1;7;1
3;12;0,666666666666667
3;4;1
5;12;1
5;8;0,666666666666667
8;10;0,333333333333333
10;11;0,333333333333333
7;11;0,333333333333333
11;12;0,666666666666667
2;11;0,333333333333333
6;12;0,666666666666667
1;5;0,333333333333333
7;9;1
2;3;1
3;8;0,333333333333333
4;6;0,666666666666667
7;10;0,666666666666667
2;12;0,333333333333333
4;5;0,666666666666667
5;11;0,333333333333333
2;5;1
5;6;0,333333333333333
6;8;0,333333333333333
2;6;0,333333333333333
9;11;1
5;9;1
2;8;1
6;11;0,333333333333333
1;8;1
