"Source";"Target";"weight"
2;10;0,666666666666667
11;12;0,666666666666667
3;7;0,333333333333333
4;5;0,333333333333333
4;12;0,666666666666667
3;8;1
5;7;1
7;12;0,333333333333333
6;12;1
1;7;0,333333333333333
3;5;0,666666666666667
7;8;0,666666666666667
5;12;0,666666666666667
2;5;1
8;9;0,333333333333333
1;3;0,333333333333333
2;8;1
8;11;1
5;10;0,333333333333333
1;12;0,333333333333333
4;11;0,333333333333333
4;10;0,666666666666667
1;11;1
3;10;0,666666666666667
2;3;0,666666666666667
8;12;0,333333333333333
8;10;1
4;9;0,333333333333333
6;10;0,666666666666667
