"Source";"Target";"weight"
6;8;0,666666666666667
8;12;0,333333333333333
2;5;0,333333333333333
5;10;0,333333333333333
6;9;1
6;11;0,333333333333333
5;12;1
1;3;0,333333333333333
2;6;1
1;6;0,666666666666667
6;10;0,333333333333333
1;10;1
1;2;0,333333333333333
5;9;1
9;10;0,333333333333333
7;9;0,333333333333333
1;12;1
2;3;0,333333333333333
1;5;0,333333333333333
4;5;0,333333333333333
10;11;1
3;11;0,666666666666667
2;7;0,666666666666667
3;4;0,666666666666667
3;8;0,666666666666667
4;9;0,333333333333333
11;12;1
5;8;1
2;8;0,666666666666667
5;7;1
7;10;0,333333333333333
1;4;1
3;6;1
8;9;1
