"Source";"Target";"weight"
1;6;0,333333333333333
6;8;0,333333333333333
2;5;1
1;3;1
6;10;0,666666666666667
3;7;0,333333333333333
8;10;0,333333333333333
5;12;0,333333333333333
4;10;0,666666666666667
1;9;0,666666666666667
10;11;0,333333333333333
5;10;0,666666666666667
5;7;1
3;5;0,333333333333333
4;9;0,333333333333333
2;3;1
2;10;0,333333333333333
3;10;1
6;7;0,666666666666667
4;7;1
9;11;1
5;8;0,333333333333333
1;5;1
2;9;0,666666666666667
8;11;0,333333333333333
6;11;1
1;7;0,666666666666667
5;11;1
3;6;1
11;12;1
1;12;1
2;12;0,333333333333333
5;9;0,666666666666667
2;7;0,333333333333333
4;8;0,666666666666667
