"Source";"Target";"weight"
3;7;0,666666666666667
2;11;0,333333333333333
6;8;0,333333333333333
7;11;0,333333333333333
3;12;0,666666666666667
4;11;0,333333333333333
1;10;0,333333333333333
10;11;0,666666666666667
2;12;1
4;12;0,666666666666667
6;9;0,333333333333333
1;4;0,666666666666667
2;3;1
3;6;1
7;12;1
8;11;1
10;12;1
1;6;0,333333333333333
5;12;0,333333333333333
9;12;1
1;9;0,666666666666667
4;5;1
3;4;0,333333333333333
8;12;0,333333333333333
1;5;1
11;12;0,333333333333333
3;8;0,666666666666667
5;8;0,666666666666667
6;10;1
2;6;1
9;11;1
2;9;0,333333333333333
2;7;1
1;12;1
