"Source";"Target";"weight"
6;7;1
2;4;0,666666666666667
2;10;0,666666666666667
9;11;0,333333333333333
8;11;0,666666666666667
1;10;1
2;5;0,333333333333333
2;11;1
6;9;1
4;7;1
5;7;1
2;8;0,666666666666667
4;5;0,666666666666667
1;5;0,333333333333333
5;12;1
7;10;0,333333333333333
7;11;1
5;9;0,666666666666667
4;8;0,333333333333333
1;8;0,666666666666667
1;9;0,666666666666667
6;11;0,333333333333333
3;12;1
3;10;1
4;11;0,333333333333333
1;12;0,666666666666667
8;9;0,666666666666667
7;9;0,333333333333333
5;11;0,666666666666667
7;12;1
4;6;0,333333333333333
3;6;1
8;10;0,666666666666667
1;2;0,333333333333333
2;12;0,666666666666667
4;9;0,333333333333333
6;12;0,666666666666667
3;4;0,333333333333333
