"Source";"Target";"weight"
6;12;0,333333333333333
7;12;0,333333333333333
1;2;0,666666666666667
6;10;0,333333333333333
2;5;0,666666666666667
9;11;0,333333333333333
3;8;0,666666666666667
11;12;0,666666666666667
2;11;0,333333333333333
5;6;0,666666666666667
1;5;1
1;11;0,666666666666667
2;9;1
8;11;1
2;6;0,333333333333333
2;12;1
2;7;1
2;8;0,333333333333333
1;4;0,333333333333333
4;7;1
1;9;0,333333333333333
4;10;0,333333333333333
6;8;0,666666666666667
4;12;1
1;7;0,666666666666667
9;12;1
1;12;0,333333333333333
1;10;1
3;10;0,666666666666667
10;12;0,333333333333333
3;9;1
