"Source";"Target";"weight"
3;6;1
5;7;0,333333333333333
4;7;1
4;6;1
6;9;0,333333333333333
5;10;0,333333333333333
2;8;0,333333333333333
2;3;0,333333333333333
2;4;1
3;4;0,666666666666667
2;5;0,666666666666667
1;6;0,666666666666667
1;2;1
4;10;1
2;10;0,666666666666667
7;12;0,666666666666667
10;12;0,333333333333333
2;12;0,666666666666667
6;12;0,666666666666667
2;9;0,333333333333333
5;8;0,333333333333333
6;10;0,333333333333333
8;12;0,333333333333333
6;11;0,666666666666667
1;9;1
2;11;0,666666666666667
5;11;0,333333333333333
2;6;0,666666666666667
5;6;0,666666666666667
1;7;0,666666666666667
4;12;0,666666666666667
3;10;0,666666666666667
