"Source";"Target";"weight"
1;12;1
5;8;0,666666666666667
6;9;1
1;2;1
9;12;1
3;12;0,333333333333333
6;11;1
1;4;0,666666666666667
2;4;0,666666666666667
5;6;0,333333333333333
2;6;1
2;10;1
8;10;1
9;10;1
3;7;1
5;7;0,666666666666667
4;10;0,333333333333333
6;8;0,666666666666667
7;10;0,666666666666667
1;6;0,333333333333333
4;7;1
6;7;0,666666666666667
1;7;0,333333333333333
4;8;0,666666666666667
4;9;0,333333333333333
8;9;1
9;11;1
7;9;0,333333333333333
8;11;0,666666666666667
7;12;0,333333333333333
5;9;0,666666666666667
4;6;0,666666666666667
3;6;1
1;5;1
3;4;1
