"";"alterID";"egoID";"alter.sex";"alter.age"
"385";1;"13";"m";"46 - 55"
"386";2;"13";"m";"46 - 55"
"387";3;"13";"m";"36 - 45"
"388";4;"13";"w";"0 - 17"
"389";5;"13";"w";"18 - 25"
"390";6;"13";"m";"36 - 45"
"391";7;"13";"m";"56 - 65"
"392";8;"13";"m";"36 - 45"
"393";9;"13";"w";"66 - 100"
"394";10;"13";"w";"36 - 45"
"395";11;"13";"m";"26 - 35"
"396";12;"13";"w";"18 - 25"
"397";13;"13";"w";"36 - 45"
"398";14;"13";"w";"0 - 17"
"399";15;"13";"w";"46 - 55"
"400";16;"13";"m";"0 - 17"
"401";17;"13";"m";"36 - 45"
"402";18;"13";"m";"46 - 55"
"403";19;"13";"w";"56 - 65"
"404";20;"13";"m";"66 - 100"
"405";21;"13";"m";"66 - 100"
