"";"alterID";"egoID";"alter.sex";"alter.age"
"65";1;"3";"m";"46 - 55"
"66";2;"3";"m";"46 - 55"
"67";3;"3";"m";"36 - 45"
"68";4;"3";"w";"0 - 17"
"69";5;"3";"w";"18 - 25"
"70";6;"3";"m";"36 - 45"
"71";7;"3";"m";"56 - 65"
"72";8;"3";"m";"36 - 45"
"73";9;"3";"w";"66 - 100"
"74";10;"3";"w";"36 - 45"
"75";11;"3";"m";"26 - 35"
"76";12;"3";"w";"18 - 25"
"77";13;"3";"w";"36 - 45"
"78";14;"3";"w";"0 - 17"
"79";15;"3";"w";"46 - 55"
"80";16;"3";"m";"0 - 17"
"81";17;"3";"m";"36 - 45"
"82";18;"3";"m";"46 - 55"
"83";19;"3";"w";"56 - 65"
"84";20;"3";"m";"66 - 100"
"85";21;"3";"m";"66 - 100"
"86";22;"3";"m";"18 - 25"
"87";23;"3";"w";"56 - 65"
"88";24;"3";"m";"66 - 100"
"89";25;"3";"m";"66 - 100"
"90";26;"3";"m";"36 - 45"
"91";27;"3";"w";"0 - 17"
"92";28;"3";"w";"66 - 100"
"93";29;"3";"m";"36 - 45"
"94";30;"3";"w";"18 - 25"
"95";31;"3";"w";"26 - 35"
"96";32;"3";"w";"36 - 45"
