"";"alterID";"egoID";"alter.sex";"alter.age"
"513";1;"17";"m";"46 - 55"
"514";2;"17";"m";"46 - 55"
"515";3;"17";"m";"36 - 45"
"516";4;"17";"w";"0 - 17"
"517";5;"17";"w";"18 - 25"
"518";6;"17";"m";"36 - 45"
"519";7;"17";"m";"56 - 65"
"520";8;"17";"m";"36 - 45"
"521";9;"17";"w";"66 - 100"
"522";10;"17";"w";"36 - 45"
"523";11;"17";"m";"26 - 35"
"524";12;"17";"w";"18 - 25"
"525";13;"17";"w";"36 - 45"
"526";14;"17";"w";"0 - 17"
"527";15;"17";"w";"46 - 55"
"528";16;"17";"m";"0 - 17"
"529";17;"17";"m";"36 - 45"
"530";18;"17";"m";"46 - 55"
"531";19;"17";"w";"56 - 65"
"532";20;"17";"m";"66 - 100"
"533";21;"17";"m";"66 - 100"
