"";"alterID";"egoID";"alter.sex";"alter.age"
"897";1;"29";"m";"46 - 55"
"898";2;"29";"m";"46 - 55"
"899";3;"29";"m";"36 - 45"
"900";4;"29";"w";"0 - 17"
"901";5;"29";"w";"18 - 25"
"902";6;"29";"m";"36 - 45"
"903";7;"29";"m";"56 - 65"
"904";8;"29";"m";"36 - 45"
"905";9;"29";"w";"66 - 100"
"906";10;"29";"w";"36 - 45"
"907";11;"29";"m";"26 - 35"
"908";12;"29";"w";"18 - 25"
"909";13;"29";"w";"36 - 45"
"910";14;"29";"w";"0 - 17"
"911";15;"29";"w";"46 - 55"
"912";16;"29";"m";"0 - 17"
"913";17;"29";"m";"36 - 45"
"914";18;"29";"m";"46 - 55"
