"";"egoID";"alterID";"alter.sex";"alter.age"
"961";"31";1;"m";"56 - 65"
"962";"31";2;"m";"26 - 35"
"963";"31";3;"m";"66 - 100"
"964";"31";4;"w";"36 - 45"
"965";"31";5;"m";"0 - 17"
"966";"31";6;"m";"66 - 100"
"967";"31";7;"w";"66 - 100"
"968";"31";8;"w";"18 - 25"
"969";"31";9;"w";"0 - 17"
"970";"31";10;"m";"46 - 55"
"971";"31";11;"w";"66 - 100"
"972";"31";12;"w";"66 - 100"
"973";"31";13;"m";"66 - 100"
"974";"31";14;"w";"26 - 35"
"975";"31";15;"m";"56 - 65"
"976";"31";16;"m";"0 - 17"
"977";"31";17;"m";"46 - 55"
"978";"31";18;"w";"66 - 100"
