"";"egoID";"alterID";"alter.sex";"alter.age"
"225";"8";1;"m";"56 - 65"
"226";"8";2;"m";"26 - 35"
"227";"8";3;"m";"66 - 100"
"228";"8";4;"w";"36 - 45"
"229";"8";5;"m";"0 - 17"
"230";"8";6;"m";"66 - 100"
"231";"8";7;"w";"66 - 100"
"232";"8";8;"w";"18 - 25"
"233";"8";9;"w";"0 - 17"
"234";"8";10;"m";"46 - 55"
"235";"8";11;"w";"66 - 100"
"236";"8";12;"w";"66 - 100"
"237";"8";13;"m";"66 - 100"
"238";"8";14;"w";"26 - 35"
"239";"8";15;"m";"56 - 65"
"240";"8";16;"m";"0 - 17"
"241";"8";17;"m";"46 - 55"
"242";"8";18;"w";"66 - 100"
"243";"8";19;"m";"0 - 17"
"244";"8";20;"w";"36 - 45"
