"";"alterID";"egoID";"alter.sex";"alter.age"
"993";1;"32";"m";"46 - 55"
"994";2;"32";"m";"46 - 55"
"995";3;"32";"m";"36 - 45"
"996";4;"32";"w";"0 - 17"
"997";5;"32";"w";"18 - 25"
"998";6;"32";"m";"36 - 45"
"999";7;"32";"m";"56 - 65"
"1000";8;"32";"m";"36 - 45"
"1001";9;"32";"w";"66 - 100"
"1002";10;"32";"w";"36 - 45"
"1003";11;"32";"m";"26 - 35"
"1004";12;"32";"w";"18 - 25"
"1005";13;"32";"w";"36 - 45"
"1006";14;"32";"w";"0 - 17"
"1007";15;"32";"w";"46 - 55"
"1008";16;"32";"m";"0 - 17"
"1009";17;"32";"m";"36 - 45"
