"";"alterID";"egoID";"alter.sex";"alter.age"
"449";1;"15";"m";"46 - 55"
"450";2;"15";"m";"46 - 55"
"451";3;"15";"m";"36 - 45"
"452";4;"15";"w";"0 - 17"
"453";5;"15";"w";"18 - 25"
"454";6;"15";"m";"36 - 45"
"455";7;"15";"m";"56 - 65"
"456";8;"15";"m";"36 - 45"
"457";9;"15";"w";"66 - 100"
"458";10;"15";"w";"36 - 45"
"459";11;"15";"m";"26 - 35"
"460";12;"15";"w";"18 - 25"
"461";13;"15";"w";"36 - 45"
"462";14;"15";"w";"0 - 17"
"463";15;"15";"w";"46 - 55"
"464";16;"15";"m";"0 - 17"
"465";17;"15";"m";"36 - 45"
"466";18;"15";"m";"46 - 55"
"467";19;"15";"w";"56 - 65"
