"";"alterID";"egoID";"alter.sex";"alter.age"
"545";1;"18";"m";"46 - 55"
"546";2;"18";"m";"46 - 55"
"547";3;"18";"m";"36 - 45"
"548";4;"18";"w";"0 - 17"
"549";5;"18";"w";"18 - 25"
"550";6;"18";"m";"36 - 45"
"551";7;"18";"m";"56 - 65"
"552";8;"18";"m";"36 - 45"
"553";9;"18";"w";"66 - 100"
"554";10;"18";"w";"36 - 45"
"555";11;"18";"m";"26 - 35"
"556";12;"18";"w";"18 - 25"
"557";13;"18";"w";"36 - 45"
"558";14;"18";"w";"0 - 17"
"559";15;"18";"w";"46 - 55"
"560";16;"18";"m";"0 - 17"
"561";17;"18";"m";"36 - 45"
