"";"alterID";"egoID";"alter.sex";"alter.age"
"737";1;"24";"m";"46 - 55"
"738";2;"24";"m";"46 - 55"
"739";3;"24";"m";"36 - 45"
"740";4;"24";"w";"0 - 17"
"741";5;"24";"w";"18 - 25"
"742";6;"24";"m";"36 - 45"
"743";7;"24";"m";"56 - 65"
"744";8;"24";"m";"36 - 45"
"745";9;"24";"w";"66 - 100"
"746";10;"24";"w";"36 - 45"
"747";11;"24";"m";"26 - 35"
"748";12;"24";"w";"18 - 25"
"749";13;"24";"w";"36 - 45"
"750";14;"24";"w";"0 - 17"
"751";15;"24";"w";"46 - 55"
"752";16;"24";"m";"0 - 17"
"753";17;"24";"m";"36 - 45"
"754";18;"24";"m";"46 - 55"
"755";19;"24";"w";"56 - 65"
"756";20;"24";"m";"66 - 100"
"757";21;"24";"m";"66 - 100"
