"";"egoID";"alterID";"alter.sex";"alter.age"
"97";"4";1;"m";"56 - 65"
"98";"4";2;"m";"26 - 35"
"99";"4";3;"m";"66 - 100"
"100";"4";4;"w";"36 - 45"
"101";"4";5;"m";"0 - 17"
"102";"4";6;"m";"66 - 100"
"103";"4";7;"w";"66 - 100"
"104";"4";8;"w";"18 - 25"
"105";"4";9;"w";"0 - 17"
"106";"4";10;"m";"46 - 55"
"107";"4";11;"w";"66 - 100"
"108";"4";12;"w";"66 - 100"
"109";"4";13;"m";"66 - 100"
"110";"4";14;"w";"26 - 35"
"111";"4";15;"m";"56 - 65"
"112";"4";16;"m";"0 - 17"
"113";"4";17;"m";"46 - 55"
"114";"4";18;"w";"66 - 100"
