"";"alterID";"egoID";"alter.sex";"alter.age"
"1";1;"1";"m";"46 - 55"
"2";2;"1";"m";"46 - 55"
"3";3;"1";"m";"36 - 45"
"4";4;"1";"w";"0 - 17"
"5";5;"1";"w";"18 - 25"
"6";6;"1";"m";"36 - 45"
"7";7;"1";"m";"56 - 65"
"8";8;"1";"m";"36 - 45"
"9";9;"1";"w";"66 - 100"
"10";10;"1";"w";"36 - 45"
"11";11;"1";"m";"26 - 35"
"12";12;"1";"w";"18 - 25"
"13";13;"1";"w";"36 - 45"
"14";14;"1";"w";"0 - 17"
"15";15;"1";"w";"46 - 55"
"16";16;"1";"m";"0 - 17"
"17";17;"1";"m";"36 - 45"
"18";18;"1";"m";"46 - 55"
"19";19;"1";"w";"56 - 65"
"20";20;"1";"m";"66 - 100"
