"";"alterID";"egoID";"alter.sex";"alter.age"
"33";1;"2";"m";"46 - 55"
"34";2;"2";"m";"46 - 55"
"35";3;"2";"m";"36 - 45"
"36";4;"2";"w";"0 - 17"
"37";5;"2";"w";"18 - 25"
"38";6;"2";"m";"36 - 45"
"39";7;"2";"m";"56 - 65"
"40";8;"2";"m";"36 - 45"
"41";9;"2";"w";"66 - 100"
"42";10;"2";"w";"36 - 45"
"43";11;"2";"m";"26 - 35"
"44";12;"2";"w";"18 - 25"
"45";13;"2";"w";"36 - 45"
"46";14;"2";"w";"0 - 17"
"47";15;"2";"w";"46 - 55"
"48";16;"2";"m";"0 - 17"
"49";17;"2";"m";"36 - 45"
"50";18;"2";"m";"46 - 55"
