"";"egoID";"alterID";"alter.sex";"alter.age"
"321";"11";1;"m";"56 - 65"
"322";"11";2;"m";"26 - 35"
"323";"11";3;"m";"66 - 100"
"324";"11";4;"w";"36 - 45"
"325";"11";5;"m";"0 - 17"
"326";"11";6;"m";"66 - 100"
"327";"11";7;"w";"66 - 100"
"328";"11";8;"w";"18 - 25"
"329";"11";9;"w";"0 - 17"
"330";"11";10;"m";"46 - 55"
"331";"11";11;"w";"66 - 100"
"332";"11";12;"w";"66 - 100"
"333";"11";13;"m";"66 - 100"
"334";"11";14;"w";"26 - 35"
"335";"11";15;"m";"56 - 65"
"336";"11";16;"m";"0 - 17"
"337";"11";17;"m";"46 - 55"
"338";"11";18;"w";"66 - 100"
"339";"11";19;"m";"0 - 17"
"340";"11";20;"w";"36 - 45"
"341";"11";21;"w";"18 - 25"
"342";"11";22;"w";"36 - 45"
