"";"alterID";"egoID";"alter.sex";"alter.age"
"833";1;"27";"m";"46 - 55"
"834";2;"27";"m";"46 - 55"
"835";3;"27";"m";"36 - 45"
"836";4;"27";"w";"0 - 17"
"837";5;"27";"w";"18 - 25"
"838";6;"27";"m";"36 - 45"
"839";7;"27";"m";"56 - 65"
"840";8;"27";"m";"36 - 45"
"841";9;"27";"w";"66 - 100"
"842";10;"27";"w";"36 - 45"
"843";11;"27";"m";"26 - 35"
"844";12;"27";"w";"18 - 25"
"845";13;"27";"w";"36 - 45"
"846";14;"27";"w";"0 - 17"
"847";15;"27";"w";"46 - 55"
"848";16;"27";"m";"0 - 17"
"849";17;"27";"m";"36 - 45"
"850";18;"27";"m";"46 - 55"
