"";"alterID";"egoID";"alter.sex";"alter.age"
"705";1;"23";"m";"46 - 55"
"706";2;"23";"m";"46 - 55"
"707";3;"23";"m";"36 - 45"
"708";4;"23";"w";"0 - 17"
"709";5;"23";"w";"18 - 25"
"710";6;"23";"m";"36 - 45"
"711";7;"23";"m";"56 - 65"
"712";8;"23";"m";"36 - 45"
"713";9;"23";"w";"66 - 100"
"714";10;"23";"w";"36 - 45"
"715";11;"23";"m";"26 - 35"
"716";12;"23";"w";"18 - 25"
"717";13;"23";"w";"36 - 45"
"718";14;"23";"w";"0 - 17"
"719";15;"23";"w";"46 - 55"
"720";16;"23";"m";"0 - 17"
"721";17;"23";"m";"36 - 45"
"722";18;"23";"m";"46 - 55"
"723";19;"23";"w";"56 - 65"
"724";20;"23";"m";"66 - 100"
