"";"alterID";"egoID";"alter.sex";"alter.age"
"577";1;"19";"m";"46 - 55"
"578";2;"19";"m";"46 - 55"
"579";3;"19";"m";"36 - 45"
"580";4;"19";"w";"0 - 17"
"581";5;"19";"w";"18 - 25"
"582";6;"19";"m";"36 - 45"
"583";7;"19";"m";"56 - 65"
"584";8;"19";"m";"36 - 45"
"585";9;"19";"w";"66 - 100"
"586";10;"19";"w";"36 - 45"
"587";11;"19";"m";"26 - 35"
"588";12;"19";"w";"18 - 25"
"589";13;"19";"w";"36 - 45"
"590";14;"19";"w";"0 - 17"
"591";15;"19";"w";"46 - 55"
"592";16;"19";"m";"0 - 17"
"593";17;"19";"m";"36 - 45"
"594";18;"19";"m";"46 - 55"
"595";19;"19";"w";"56 - 65"
"596";20;"19";"m";"66 - 100"
"597";21;"19";"m";"66 - 100"
