"";"alterID";"egoID";"alter.sex";"alter.age"
"481";1;"16";"m";"46 - 55"
"482";2;"16";"m";"46 - 55"
"483";3;"16";"m";"36 - 45"
"484";4;"16";"w";"0 - 17"
"485";5;"16";"w";"18 - 25"
"486";6;"16";"m";"36 - 45"
"487";7;"16";"m";"56 - 65"
"488";8;"16";"m";"36 - 45"
"489";9;"16";"w";"66 - 100"
"490";10;"16";"w";"36 - 45"
"491";11;"16";"m";"26 - 35"
"492";12;"16";"w";"18 - 25"
"493";13;"16";"w";"36 - 45"
"494";14;"16";"w";"0 - 17"
"495";15;"16";"w";"46 - 55"
"496";16;"16";"m";"0 - 17"
"497";17;"16";"m";"36 - 45"
"498";18;"16";"m";"46 - 55"
"499";19;"16";"w";"56 - 65"
"500";20;"16";"m";"66 - 100"
"501";21;"16";"m";"66 - 100"
