"";"alterID";"egoID";"alter.sex";"alter.age"
"129";1;"5";"m";"46 - 55"
"130";2;"5";"m";"46 - 55"
"131";3;"5";"m";"36 - 45"
"132";4;"5";"w";"0 - 17"
"133";5;"5";"w";"18 - 25"
"134";6;"5";"m";"36 - 45"
"135";7;"5";"m";"56 - 65"
"136";8;"5";"m";"36 - 45"
"137";9;"5";"w";"66 - 100"
"138";10;"5";"w";"36 - 45"
"139";11;"5";"m";"26 - 35"
"140";12;"5";"w";"18 - 25"
"141";13;"5";"w";"36 - 45"
"142";14;"5";"w";"0 - 17"
"143";15;"5";"w";"46 - 55"
"144";16;"5";"m";"0 - 17"
"145";17;"5";"m";"36 - 45"
"146";18;"5";"m";"46 - 55"
"147";19;"5";"w";"56 - 65"
"148";20;"5";"m";"66 - 100"
"149";21;"5";"m";"66 - 100"
"150";22;"5";"m";"18 - 25"
"151";23;"5";"w";"56 - 65"
