"";"alterID";"egoID";"alter.sex";"alter.age"
"609";1;"20";"m";"46 - 55"
"610";2;"20";"m";"46 - 55"
"611";3;"20";"m";"36 - 45"
"612";4;"20";"w";"0 - 17"
"613";5;"20";"w";"18 - 25"
"614";6;"20";"m";"36 - 45"
"615";7;"20";"m";"56 - 65"
"616";8;"20";"m";"36 - 45"
"617";9;"20";"w";"66 - 100"
"618";10;"20";"w";"36 - 45"
"619";11;"20";"m";"26 - 35"
"620";12;"20";"w";"18 - 25"
"621";13;"20";"w";"36 - 45"
"622";14;"20";"w";"0 - 17"
"623";15;"20";"w";"46 - 55"
"624";16;"20";"m";"0 - 17"
"625";17;"20";"m";"36 - 45"
"626";18;"20";"m";"46 - 55"
