"";"egoID";"alterID";"alter.sex";"alter.age"
"289";"10";1;"m";"56 - 65"
"290";"10";2;"m";"26 - 35"
"291";"10";3;"m";"66 - 100"
"292";"10";4;"w";"36 - 45"
"293";"10";5;"m";"0 - 17"
"294";"10";6;"m";"66 - 100"
"295";"10";7;"w";"66 - 100"
"296";"10";8;"w";"18 - 25"
"297";"10";9;"w";"0 - 17"
"298";"10";10;"m";"46 - 55"
"299";"10";11;"w";"66 - 100"
"300";"10";12;"w";"66 - 100"
"301";"10";13;"m";"66 - 100"
"302";"10";14;"w";"26 - 35"
"303";"10";15;"m";"56 - 65"
"304";"10";16;"m";"0 - 17"
"305";"10";17;"m";"46 - 55"
"306";"10";18;"w";"66 - 100"
"307";"10";19;"m";"0 - 17"
