"";"egoID";"alterID";"alter.sex";"alter.age"
"929";"30";1;"m";"56 - 65"
"930";"30";2;"m";"26 - 35"
"931";"30";3;"m";"66 - 100"
"932";"30";4;"w";"36 - 45"
"933";"30";5;"m";"0 - 17"
"934";"30";6;"m";"66 - 100"
"935";"30";7;"w";"66 - 100"
"936";"30";8;"w";"18 - 25"
"937";"30";9;"w";"0 - 17"
"938";"30";10;"m";"46 - 55"
"939";"30";11;"w";"66 - 100"
"940";"30";12;"w";"66 - 100"
"941";"30";13;"m";"66 - 100"
"942";"30";14;"w";"26 - 35"
"943";"30";15;"m";"56 - 65"
"944";"30";16;"m";"0 - 17"
"945";"30";17;"m";"46 - 55"
"946";"30";18;"w";"66 - 100"
"947";"30";19;"m";"0 - 17"
"948";"30";20;"w";"36 - 45"
