"";"alterID";"egoID";"alter.sex";"alter.age"
"769";1;"25";"m";"46 - 55"
"770";2;"25";"m";"46 - 55"
"771";3;"25";"m";"36 - 45"
"772";4;"25";"w";"0 - 17"
"773";5;"25";"w";"18 - 25"
"774";6;"25";"m";"36 - 45"
"775";7;"25";"m";"56 - 65"
"776";8;"25";"m";"36 - 45"
"777";9;"25";"w";"66 - 100"
"778";10;"25";"w";"36 - 45"
"779";11;"25";"m";"26 - 35"
"780";12;"25";"w";"18 - 25"
"781";13;"25";"w";"36 - 45"
"782";14;"25";"w";"0 - 17"
"783";15;"25";"w";"46 - 55"
"784";16;"25";"m";"0 - 17"
"785";17;"25";"m";"36 - 45"
"786";18;"25";"m";"46 - 55"
"787";19;"25";"w";"56 - 65"
"788";20;"25";"m";"66 - 100"
"789";21;"25";"m";"66 - 100"
"790";22;"25";"m";"18 - 25"
"791";23;"25";"w";"56 - 65"
