"";"egoID";"Source";"Target";"weight"
"1";1;1;2;2
"2";1;1;3;1
"3";1;1;4;2
"4";1;1;5;3
"5";1;1;6;2
"6";1;1;7;2
"7";1;1;8;3
"8";1;2;3;2
"9";1;2;4;3
"10";1;2;5;2
"11";1;2;6;2
"12";1;2;7;1
"13";1;2;8;1
"14";1;3;4;3
"15";1;3;5;2
"16";1;3;6;1
"17";1;3;7;2
"18";1;3;8;1
"19";1;4;5;2
"20";1;4;6;2
"21";1;4;7;3
"22";1;4;8;3
"23";1;5;6;2
"24";1;5;7;1
"25";1;5;8;3
"26";1;6;7;2
"27";1;6;8;3
"28";1;7;8;2
"29";2;1;2;3
"30";2;1;3;1
"31";2;1;4;3
"32";2;1;5;3
"33";2;1;6;1
"34";2;1;7;1
"35";2;1;8;1
"36";2;2;3;2
"37";2;2;4;2
"38";2;2;5;1
"39";2;2;6;1
"40";2;2;7;1
"41";2;2;8;3
"42";2;3;4;1
"43";2;3;5;2
"44";2;3;6;1
"45";2;3;7;2
"46";2;3;8;1
"47";2;4;5;2
"48";2;4;6;3
"49";2;4;7;3
"50";2;4;8;1
"51";2;5;6;2
"52";2;5;7;2
"53";2;5;8;1
"54";2;6;7;1
"55";2;6;8;2
"56";2;7;8;3
"57";3;1;2;3
"58";3;1;3;1
"59";3;1;4;2
"60";3;1;5;1
"61";3;1;6;1
"62";3;1;7;3
"63";3;1;8;1
"64";3;2;3;3
"65";3;2;4;2
"66";3;2;5;2
"67";3;2;6;1
"68";3;2;7;3
"69";3;2;8;2
"70";3;3;4;3
"71";3;3;5;2
"72";3;3;6;2
"73";3;3;7;3
"74";3;3;8;2
"75";3;4;5;1
"76";3;4;6;2
"77";3;4;7;2
"78";3;4;8;3
"79";3;5;6;1
"80";3;5;7;2
"81";3;5;8;3
"82";3;6;7;2
"83";3;6;8;2
"84";3;7;8;2
"85";4;1;2;3
"86";4;1;3;1
"87";4;1;4;3
"88";4;1;5;2
"89";4;1;6;1
"90";4;1;7;3
"91";4;1;8;3
"92";4;2;3;2
"93";4;2;4;3
"94";4;2;5;3
"95";4;2;6;1
"96";4;2;7;3
"97";4;2;8;2
"98";4;3;4;2
"99";4;3;5;1
"100";4;3;6;3
"101";4;3;7;1
"102";4;3;8;2
"103";4;4;5;3
"104";4;4;6;2
"105";4;4;7;1
"106";4;4;8;3
"107";4;5;6;2
"108";4;5;7;3
"109";4;5;8;3
"110";4;6;7;3
"111";4;6;8;1
"112";4;7;8;2
"113";5;1;2;2
"114";5;1;3;1
"115";5;1;4;3
"116";5;1;5;1
"117";5;1;6;3
"118";5;1;7;3
"119";5;1;8;2
"120";5;2;3;2
"121";5;2;4;2
"122";5;2;5;3
"123";5;2;6;3
"124";5;2;7;2
"125";5;2;8;1
"126";5;3;4;3
"127";5;3;5;1
"128";5;3;6;2
"129";5;3;7;2
"130";5;3;8;2
"131";5;4;5;2
"132";5;4;6;3
"133";5;4;7;1
"134";5;4;8;3
"135";5;5;6;1
"136";5;5;7;2
"137";5;5;8;3
"138";5;6;7;2
"139";5;6;8;3
"140";5;7;8;1
"141";6;1;2;3
"142";6;1;3;3
"143";6;1;4;3
"144";6;1;5;2
"145";6;1;6;1
"146";6;1;7;3
"147";6;1;8;1
"148";6;2;3;3
"149";6;2;4;3
"150";6;2;5;3
"151";6;2;6;1
"152";6;2;7;2
"153";6;2;8;1
"154";6;3;4;2
"155";6;3;5;3
"156";6;3;6;1
"157";6;3;7;3
"158";6;3;8;2
"159";6;4;5;3
"160";6;4;6;1
"161";6;4;7;2
"162";6;4;8;2
"163";6;5;6;1
"164";6;5;7;3
"165";6;5;8;1
"166";6;6;7;2
"167";6;6;8;3
"168";6;7;8;2
"169";7;1;2;3
"170";7;1;3;2
"171";7;1;4;2
"172";7;1;5;2
"173";7;1;6;2
"174";7;1;7;1
"175";7;1;8;2
"176";7;2;3;1
"177";7;2;4;2
"178";7;2;5;2
"179";7;2;6;3
"180";7;2;7;3
"181";7;2;8;1
"182";7;3;4;1
"183";7;3;5;2
"184";7;3;6;1
"185";7;3;7;2
"186";7;3;8;2
"187";7;4;5;2
"188";7;4;6;3
"189";7;4;7;2
"190";7;4;8;1
"191";7;5;6;2
"192";7;5;7;3
"193";7;5;8;1
"194";7;6;7;2
"195";7;6;8;1
"196";7;7;8;3
"197";8;1;2;2
"198";8;1;3;2
"199";8;1;4;2
"200";8;1;5;3
"201";8;1;6;2
"202";8;1;7;3
"203";8;1;8;3
"204";8;2;3;1
"205";8;2;4;3
"206";8;2;5;1
"207";8;2;6;1
"208";8;2;7;2
"209";8;2;8;2
"210";8;3;4;1
"211";8;3;5;2
"212";8;3;6;3
"213";8;3;7;2
"214";8;3;8;1
"215";8;4;5;3
"216";8;4;6;3
"217";8;4;7;3
"218";8;4;8;1
"219";8;5;6;1
"220";8;5;7;1
"221";8;5;8;2
"222";8;6;7;3
"223";8;6;8;1
"224";8;7;8;2
"225";9;1;2;1
"226";9;1;3;3
"227";9;1;4;1
"228";9;1;5;2
"229";9;1;6;2
"230";9;1;7;2
"231";9;1;8;2
"232";9;2;3;3
"233";9;2;4;3
"234";9;2;5;1
"235";9;2;6;2
"236";9;2;7;1
"237";9;2;8;3
"238";9;3;4;3
"239";9;3;5;2
"240";9;3;6;3
"241";9;3;7;2
"242";9;3;8;3
"243";9;4;5;3
"244";9;4;6;3
"245";9;4;7;3
"246";9;4;8;1
